Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"K1BKE Henniker",146.89500,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Henniker, Pats Peak",
2,"K1CA Derry",449.62500,-,5.00000,Tone,85.4,85.4,023,NN,FM,5,"Derry",
3,"K1CA Derry",146.85000,-,0.60000,Tone,85.4,85.4,023,NN,FM,5,"Derry",
4,"K1DED Center Barnstead",446.47500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Center Barnstead",
5,"K1DED Londonderry",442.00000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Londonderry",
6,"K1DED Bow",146.61000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Bow",
7,"K1JC Chester",442.55000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Chester",
8,"K1JEK Alton",146.86500,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Alton",
9,"K1JEK Northwood",146.70000,-,0.60000,Tone,88.5,88.5,023,NN,Auto,5,"Northwood",
10,"K1JEK Alton",444.05000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Alton",
11,"K1JY Deerfield",449.22500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Deerfield",
12,"K1JY Wilmot",447.67500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Wilmot, Mt Kearsarge",
13,"K1KKM Haverhill",447.27500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Haverhill",
14,"K1KKM West Newbury",146.62500,-,0.60000,Tone,131.8,88.5,023,NN,FM,5,"West Newbury",
15,"K1LVF Lowell",442.25000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Lowell",
16,"K1QVC Derry",447.37500,-,5.00000,Tone,85.4,88.5,23,NN,DV,5,"Derry",
17,"K1QVC Derry",145.31000,-,0.60000,,88.5,88.5,023,NN,FM,5,"Derry",
18,"K1TLV Mason",443.75000,+,5.00000,,88.5,97.4,023,NN,Auto,5,"Mason",
19,"K3RQ Mont Vernon",448.42500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Mont Vernon",
20,"KA1BBG Greenfield",448.52500,-,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Greenfield",
21,"KA1BBG Francestown",147.06000,+,0.60000,Tone,123.0,123.0,023,NN,FM,5,"Francestown",
22,"KA1OKQ Pembroke",147.22500,+,0.60000,Tone,100.0,100.0,023,NN,Auto,5,"Pembroke",
23,"KA1OKQ Pack Monadnock",443.35000,+,5.00000,Tone,110.9,110.9,023,NN,FM,5,"Pack Monadnock",
24,"KA1SU Bow",447.32500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Bow, Quimby Mountain",
25,"KB1IIT Bow",448.67500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Bow, Bow Bog Hill ",
26,"KB1SFG Lawrence",446.37500,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Lawrence",
27,"KB1VTL Kensington",443.45000,+,5.00000,Tone,88.5,88.5,023,NN,Auto,5,"Kensington, Waymouth Hill",
28,"KB2KWB Lowell",444.96250,+,5.00000,Tone,179.9,179.9,023,NN,FM,5,"Lowell",
29,"KB5JR Harvard",448.47500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Harvard",
30,"KC1AWV Newmarket",447.47500,-,5.00000,Tone,107.2,107.2,023,NN,Auto,5,"Newmarket, Four Courners",
31,"KC1EWP East Kingston",441.35000,+,5.00000,Tone,88.5,88.5,023,NN,Auto,5,"East Kingston",
32,"KC2LT Hudson",448.27500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Hudson",
33,"KC2LT Derry",147.21000,+,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Derry",
34,"KC2LT Derry",441.30000,+,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Derry",
35,"KT1S Haverhill",145.35000,-,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Haverhill",
36,"N1CML Pelham",448.82500,-,5.00000,Tone,131.8,88.5,023,NN,Auto,5,"Pelham",
37,"N1EXC Lawrence",447.62500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Lawrence",
38,"N1EXC Lawrence",146.65500,-,0.60000,Tone,107.2,107.2,023,NN,FM,5,"Lawrence",
39,"N1HSY Topsfield",147.28500,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Topsfield",
40,"N1IMO Hollis",146.73000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Hollis",
41,"N1IMO Nashua",147.04500,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Nashua",
42,"N1IMO Peterborough",147.19500,+,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Peterborough",
43,"N1IMO Pittsfield",146.79000,-,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Pittsfield",
44,"N1IMO Hollis",443.50000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Hollis",
45,"N1IMO Derry",447.82500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Derry",
46,"N1IMO Peterborough",449.37500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Peterborough, Pack Monadnock Mountain",
47,"N1IMO Pittsfield",442.15000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Pittsfield",
48,"N1IMO Hollis",444.25000,+,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Hollis",
49,"N1IMO Nashua",444.80000,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Nashua",
50,"N1KXT Pembroke",443.65000,+,5.00000,Tone,131.8,131.8,023,NN,FM,5,"Pembroke",
51,"N1LHP North Andover",444.10000,+,5.00000,,131.8,88.5,023,NN,FM,5,"North Andover",
52,"N1LHP Methuen",448.32500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Methuen",
53,"N1LHP Methuen",145.29000,-,0.60000,Tone,123.0,123.0,23,NN,Auto,5,"Methuen",
54,"N1LHP Andover",146.83500,-,0.60000,Tone,77.0,88.5,023,NN,FM,5,"Andover",
55,"N1LHP Chelmsford",441.90000,+,5.00000,Tone,88.5,97.4,023,NN,FM,5,"Chelmsford",
56,"N1LT Gilford",146.98500,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"Gilford, Gunstock Mountain",
57,"N1MNX Pepperell",147.34500,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Pepperell",
58,"N1MNX Pepperell",442.90000,+,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Pepperell",
59,"N1QC Bedford",146.68500,-,0.60000,Tone,100.0,100.0,023,NN,Auto,5,"Bedford",
60,"N1SM Manchester",147.33000,+,0.60000,Tone,141.3,141.3,023,NN,FM,5,"Manchester",
61,"N3LEE New Ipswich",443.15000,+,5.00000,Tone,71.9,71.9,023,NN,FM,5,"New Ipswich",
62,"NE1B Hudson",147.10500,+,0.60000,Tone,88.5,88.5,23,NN,DIG,5,"Hudson",
63,"NM1D Derry",146.74500,-,0.60000,Tone,114.8,114.8,023,NN,FM,5,"Derry",
64,"NN1PA Goffstown",444.20000,+,5.00000,Tone,186.2,186.2,23,NN,DIG,5,"Goffstown, Mt Uncanoonic",
65,"NY1Z Salem",147.16500,+,0.60000,Tone,136.5,88.5,023,NN,FM,5,"Salem",
66,"NY1Z Salem",449.77500,-,5.00000,,88.5,88.5,023,NN,FM,5,"Salem",
67,"W1AJI Derry",441.55000,+,5.00000,Tone,127.3,127.3,023,NN,FM,5,"Derry",
68,"W1AKS Goffstown",147.13500,+,0.60000,Tone,100.0,100.0,023,NN,Auto,5,"Goffstown",
69,"W1ALE Pembroke",146.94000,-,0.60000,Tone,114.8,114.8,023,NN,FM,5,"Pembroke, QTH",
70,"W1ASS Epsom",443.85000,+,5.00000,Tone,88.5,88.5,23,NN,P25,5,"Epsom, Fort Mountain",
71,"W1DC Billerica",147.12000,+,0.60000,Tone,146.2,146.2,023,NN,FM,5,"Billerica",
72,"W1DDI Northfield",446.62500,-,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Northfield",
73,"W1DVC Harvard",145.41000,-,0.60000,Tone,74.4,74.4,023,NN,FM,5,"Harvard",
74,"W1GZ Fitchburg",145.45000,-,0.60000,Tone,74.4,74.4,023,NN,FM,5,"Fitchburg, Burbank Hospital",
75,"W1JY Sanbornton",146.67000,-,0.60000,Tone,123.0,123.0,023,NN,Auto,5,"Sanbornton, Steele Hill Resorts",
76,"W1JY Franklin",147.30000,+,0.60000,Tone,88.5,88.5,023,NN,FM,5,"Franklin, Veterans Memorial Recreation Area",
77,"W1SRA Deerfield",147.00000,-,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Deerfield, Saddleback Mountain",
78,"W1VN Sunapee",442.35000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Sunapee",
79,"W1VTP New Boston",147.37500,+,0.60000,Tone,88.5,88.5,023,NN,FM,5,"New Boston, Chestnut Hill",
80,"W1WQM Kensington",145.15000,-,0.60000,Tone,127.3,127.3,023,NN,FM,5,"Kensington",
81,"W1WQM Kensington",444.40000,+,5.00000,Tone,100.0,100.0,023,NN,FM,5,"Kensington",
82,"W1XOJ Pack Monadnock",448.00000,-,5.00000,Tone,203.5,162.2,023,NN,FM,5,"Pack Monadnock",
83,"WA1HCO Mont Vernon",447.12500,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Mont Vernon",
84,"WA1UNN Rindge",146.77500,-,0.60000,Tone,123.0,123.0,023,NN,FM,5,"Rindge",
85,"WA1ZYX Deerfield",449.45000,-,5.00000,Tone,123.0,123.0,023,NN,FM,5,"Deerfield, WENH Tower ",
86,"WA1ZYX Peterborough",447.42500,-,5.00000,Tone,141.3,141.3,023,NN,FM,5,"Peterborough, Temple Mountain",
87,"WB1EWS Fitchburg",442.95000,+,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Fitchburg",
88,"WB1EWS Fitchburg",147.31500,+,0.60000,Tone,100.0,100.0,023,NN,FM,5,"Fitchburg",
89,"WB1GOF Westford",146.95500,-,0.60000,Tone,74.4,74.4,023,NN,FM,5,"Westford",
90,"WC1P Winchendon",447.20000,-,5.00000,Tone,88.5,88.5,023,NN,FM,5,"Winchendon",
91,"WQ2H Dublin",441.70000,+,5.00000,Tone,100.0,100.0,023,NN,Auto,5,"Dublin, Snow Hill",
